"AREA","PERIMETER","JUNK_","JUNK_ID","PLACENAME"
"204",0.039,1.16,"206","7","North America"
"205",0.022,0.712,"207","3","Asia"
"206",0.029,0.681,"208","7","North America"
"207",0.113,1.762,"209","3","Asia"
"208",0.974,5.337,"210","3","Asia"
"209",0.581,5.065,"211","3","Asia"
"210",0.959,8.898,"212","3","Asia"
"211",0.39,4.262,"213","3","Asia"
"212",1.067,5.467,"214","3","Asia"
"213",0.39,3.559,"215","7","North America"
"214",0,0.07,"216","3","Asia"
"215",0.332,2.239,"217","3","Asia"
"216",5.41,11.517,"218","3","Asia"
"217",7.738,23.57,"219","3","Asia"
"218",0.034,0.851,"220","5","Oceania East"
"219",0.001,0.252,"221","5","Oceania East"
"220",59.47,52.048,"222","3","Asia"
"221",0.032,0.652,"223","5","Oceania East"
"222",34.888,41.43,"224","3","Asia"
"223",0.033,1.634,"225","1","Africa"
"224",0.037,0.798,"226","3","Asia"
"225",0.165,1.765,"227","1","Africa"
"226",1.505,11.407,"228","3","Asia"
"227",0.033,1.554,"229","5","Oceania West"
"228",13.811,42.748,"230","3","Asia"
"229",0.332,2.684,"231","3","Asia"
"230",0.045,0.857,"232","3","Asia"
"231",0.068,1.235,"233","3","Asia"
"232",0.142,1.746,"234","3","Asia"
"233",0,0.059,"235","5","Oceania West"
"234",0.078,1.06,"236","1","Africa"
"235",0.182,1.906,"237","6","South America"
"236",0,0.041,"238","5","Oceania West"
"237",0.036,0.717,"239","6","South America"
"238",0.387,3.766,"240","6","South America"
"239",0.08,1.132,"241","6","South America"
"240",0.016,0.552,"242","6","South America"
"241",0.279,3.484,"243","3","Asia"
"242",3.293,7.185,"244","6","South America"
"243",63.932,74.757,"245","3","Asia"
"244",0.001,0.098,"246","5","Oceania West"
"245",0.002,0.174,"247","5","Oceania East"
"246",0.337,2.741,"248","6","South America"
"247",0,0.137,"249","3","Asia"
"248",0.235,2.546,"250","3","Asia"
"249",0.14,1.46,"251","3","Asia"
"250",0.322,2.726,"252","3","Asia"
"251",0.214,1.943,"253","3","Asia"
"252",0.95,6.21,"254","3","Asia"
"253",0.251,2.449,"255","3","Asia"
"254",0.365,2.599,"256","3","Asia"
"255",0.561,6.926,"257","3","Asia"
"256",1.416,8.16,"258","3","Asia"
"257",0.686,3.524,"259","3","Asia"
"258",2.869,12.773,"260","3","Asia"
"259",0.366,3.833,"261","3","Asia"
"260",0.02,0.607,"262","1","Africa"
"261",0.261,2.302,"263","3","Asia"
"262",0.083,1.482,"264","1","Africa"
"263",0.184,2.126,"265","3","Asia"
