T20,Major trading partners,,,,,,,
Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value,Footnotes,Source
24,Angola,2015,Major trading partner 3 (% of exports),United States,,3.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
24,Angola,2020,Major trading partner 3 (% of exports),United States,,3.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
24,Angola,2010,Major trading partner 3 (% of imports),Singapore,,0.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
24,Angola,2015,Major trading partner 3 (% of imports),Singapore,,9.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
24,Angola,2020,Major trading partner 3 (% of imports),Singapore,,9.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
660,Anguilla,2015,Major trading partner 1 (% of exports),Chile,,0.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
660,Anguilla,2020,Major trading partner 1 (% of exports),Chile,,55.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
660,Anguilla,2010,Major trading partner 1 (% of imports),Chile,,0.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
660,Anguilla,2015,Major trading partner 1 (% of imports),Chile,,0.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
660,Anguilla,2020,Major trading partner 1 (% of imports),Chile,,48.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
660,Anguilla,2020,Major trading partner 2 (% of exports),Malta,,22.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
660,Anguilla,2010,Major trading partner 2 (% of imports),United States,,55.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
660,Anguilla,2015,Major trading partner 2 (% of imports),United States,,60.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
660,Anguilla,2020,Major trading partner 2 (% of imports),United States,,37.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
660,Anguilla,2010,Major trading partner 3 (% of exports),United Kingdom,,0.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
660,Anguilla,2015,Major trading partner 3 (% of exports),United Kingdom,,0.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
660,Anguilla,2020,Major trading partner 3 (% of exports),United Kingdom,,6.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
660,Anguilla,2010,Major trading partner 3 (% of imports),Netherlands,,1.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
660,Anguilla,2015,Major trading partner 3 (% of imports),Netherlands,,2.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
660,Anguilla,2020,Major trading partner 3 (% of imports),Netherlands,,2.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
28,Antigua and Barbuda,2015,Major trading partner 1 (% of exports),United Arab Emirates,,0.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
28,Antigua and Barbuda,2020,Major trading partner 1 (% of exports),United Arab Emirates,,52.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
28,Antigua and Barbuda,2010,Major trading partner 1 (% of imports),United States,,34.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
28,Antigua and Barbuda,2015,Major trading partner 1 (% of imports),United States,,55.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
28,Antigua and Barbuda,2020,Major trading partner 1 (% of imports),United States,,48.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
28,Antigua and Barbuda,2010,Major trading partner 2 (% of exports),United States,,29.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
28,Antigua and Barbuda,2015,Major trading partner 2 (% of exports),United States,,30.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
28,Antigua and Barbuda,2020,Major trading partner 2 (% of exports),United States,,9.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
28,Antigua and Barbuda,2010,Major trading partner 2 (% of imports),China,,8.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
28,Antigua and Barbuda,2015,Major trading partner 2 (% of imports),China,,5.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
28,Antigua and Barbuda,2020,Major trading partner 2 (% of imports),China,,7.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
